"","batch","well","treatment","sample","genes_detected","genes_detected_zscore","genes_detected_pval","genes_detected_padj","counts"
"M1B_T384s1_A1","M1B","A1","SC 1","M1B_T384s1_A1",8517,-0.586240890521002,0.557713646610916,0.994975217358688,81203
"M1B_T384s1_A2","M1B","A2","DMSO","M1B_T384s1_A2",13099,1.44104846802007,0.149570990437948,0.994975217358688,1430675
"M1B_T384s1_A3","M1B","A3","A3","M1B_T384s1_A3",10210,0.162820847586818,0.870659493306216,0.994975217358688,198849
"M1B_T384s1_A4","M1B","A4","A4","M1B_T384s1_A4",11186,0.594648524133323,0.55207843720096,0.994975217358688,297976
"M1B_T384s1_A5","M1B","A5","A5","M1B_T384s1_A5",11087,0.550846331532806,0.581739020331586,0.994975217358688,309183
"M1B_T384s1_A6","M1B","A6","A6","M1B_T384s1_A6",6314,-1.56095028747997,0.118535480799153,0.965883247309211,37328
"M1B_T384s1_A7","M1B","A7","A7","M1B_T384s1_A7",11711,0.826932878833031,0.408275106544985,0.994975217358688,433031
"M1B_T384s1_A8","M1B","A8","A8","M1B_T384s1_A8",12154,1.02293662956059,0.306337809137987,0.994975217358688,613312
"M1B_T384s1_A9","M1B","A9","A9","M1B_T384s1_A9",12038,0.971612848331706,0.331243188201851,0.994975217358688,538135
"M1B_T384s1_A10","M1B","A10","A10","M1B_T384s1_A10",12443,1.15080363624291,0.249813028514331,0.994975217358688,863580
"M1B_T384s1_A11","M1B","A11","A11","M1B_T384s1_A11",11785,0.859673911685942,0.389968819486293,0.994975217358688,445214
"M1B_T384s1_A12","M1B","A12","A12","M1B_T384s1_A12",11669,0.808350130457054,0.418889051589273,0.994975217358688,437366
"M1B_T384s1_A13","M1B","A13","A13","M1B_T384s1_A13",11689,0.817199058255138,0.413814680630045,0.994975217358688,439445
"M1B_T384s1_A14","M1B","A14","A14","M1B_T384s1_A14",10537,0.307500817085493,0.758462201192541,0.994975217358688,222399
"M1B_T384s1_A15","M1B","A15","A15","M1B_T384s1_A15",11522,0.743310511141136,0.45729370926864,0.994975217358688,315019
"M1B_T384s1_A16","M1B","A16","A16","M1B_T384s1_A16",11290,0.64066294868336,0.521741691638097,0.994975217358688,321386
"M1B_T384s1_A17","M1B","A17","A17","M1B_T384s1_A17",10946,0.488461390556313,0.625223067034717,0.994975217358688,279608
"M1B_T384s1_A18","M1B","A18","A18","M1B_T384s1_A18",11243,0.619867968357862,0.535344715893462,0.994975217358688,327152
"M1B_T384s1_A19","M1B","A19","A19","M1B_T384s1_A19",10928,0.480497355538038,0.630873783113458,0.994975217358688,282865
"M1B_T384s1_A20","M1B","A20","A20","M1B_T384s1_A20",10862,0.45129589380436,0.651776303921817,0.994975217358688,317898
"M1B_T384s1_A21","M1B","A21","A21","M1B_T384s1_A21",11069,0.542882296514531,0.587210845826379,0.994975217358688,276794
"M1B_T384s1_A22","M1B","A22","A22","M1B_T384s1_A22",11074,0.545094528464052,0.585688505643156,0.994975217358688,248736
"M1B_T384s1_A23","M1B","A23","P7NG# 9 D5 Diff GFP +","M1B_T384s1_A23",6303,-1.56581719776891,0.117391418890452,0.965883247309211,33508
"M1B_T384s1_A24","M1B","A24","P7NG# 13 D20 SF GFP -","M1B_T384s1_A24",6725,-1.37910482122934,0.167862437584146,0.994975217358688,44911
"M1B_T384s1_B1","M1B","B1","SC 2","M1B_T384s1_B1",6129,-1.64280286961224,0.100423726300195,0.86657777301741,31075
"M1B_T384s1_B2","M1B","B2","DMSO","M1B_T384s1_B2",13536,1.63439754040821,0.10217540436971,0.871896783954858,1808627
"M1B_T384s1_B3","M1B","B3","B3","M1B_T384s1_B3",11490,0.729152226664201,0.465908550462708,0.994975217358688,374531
"M1B_T384s1_B4","M1B","B4","B4","M1B_T384s1_B4",11209,0.604824791101119,0.545295419466261,0.994975217358688,338503
"M1B_T384s1_B5","M1B","B5","B5","M1B_T384s1_B5",10882,0.460144821602444,0.645412273829355,0.994975217358688,268472
"M1B_T384s1_B6","M1B","B6","B6","M1B_T384s1_B6",10857,0.449083661854839,0.653371305944758,0.994975217358688,286824
"M1B_T384s1_B7","M1B","B7","B7","M1B_T384s1_B7",11145,0.57650822214725,0.564271713956834,0.994975217358688,306946
"M1B_T384s1_B8","M1B","B8","B8","M1B_T384s1_B8",10733,0.394220309506718,0.693418392489207,0.994975217358688,222213
"M1B_T384s1_B9","M1B","B9","B9","M1B_T384s1_B9",10813,0.429616020699054,0.667474981232519,0.994975217358688,244260
"M1B_T384s1_B10","M1B","B10","B10","M1B_T384s1_B10",10705,0.3818318105894,0.702586121847764,0.994975217358688,236665
"M1B_T384s1_B11","M1B","B11","B11","M1B_T384s1_B11",9546,-0.130963555309574,0.895804137687553,0.994975217358688,140334
"M1B_T384s1_B12","M1B","B12","B12","M1B_T384s1_B12",10668,0.365461294162944,0.71476709436973,0.994975217358688,250873
"M1B_T384s1_B13","M1B","B13","B13","M1B_T384s1_B13",11347,0.6658823929079,0.505486275433189,0.994975217358688,404051
"M1B_T384s1_B14","M1B","B14","B14","M1B_T384s1_B14",12154,1.02293662956059,0.306337809137987,0.994975217358688,590922
"M1B_T384s1_B15","M1B","B15","B15","M1B_T384s1_B15",10725,0.390680738387484,0.696033238126103,0.994975217358688,268380
"M1B_T384s1_B16","M1B","B16","B16","M1B_T384s1_B16",9779,-0.0278735464618945,0.977763007108679,0.996709008282428,155015
"M1B_T384s1_B17","M1B","B17","B17","M1B_T384s1_B17",10480,0.282281372860954,0.777727767350047,0.994975217358688,197683
"M1B_T384s1_B18","M1B","B18","B18","M1B_T384s1_B18",11138,0.573411097417921,0.566366378146169,0.994975217358688,387890
"M1B_T384s1_B19","M1B","B19","B19","M1B_T384s1_B19",10137,0.130522261123811,0.896153242963257,0.994975217358688,177594
"M1B_T384s1_B20","M1B","B20","B20","M1B_T384s1_B20",10697,0.378292239470166,0.705213509846605,0.994975217358688,247195
"M1B_T384s1_B21","M1B","B21","B21","M1B_T384s1_B21",9535,-0.135830465598521,0.891955306190649,0.994975217358688,132114
"M1B_T384s1_B22","M1B","B22","B22","M1B_T384s1_B22",10410,0.251310125567659,0.801574347255855,0.994975217358688,232697
"M1B_T384s1_B23","M1B","B23","P7NG# 14 D5 Diff GFP -","M1B_T384s1_B23",4902,-2.1856845900247,0.0288386890732313,0.412755200117408,21703
"M1B_T384s1_B24","M1B","B24","P7NG# 13 D20 SF GFP +","M1B_T384s1_B24",3655,-2.73741523823525,0.00619240755364512,0.293764263161503,11365
