,batch,well,treatment,sample,Experiment
M1B_T384s1_O11,M1B,O11,O11,M1B_T384s1_O11,Sseq
M1B_T384s1_O12,M1B,O12,O12,M1B_T384s1_O12,Sseq
M1B_T384s1_O13,M1B,O13,O13,M1B_T384s1_O13,Sseq
M1B_T384s1_O14,M1B,O14,O14,M1B_T384s1_O14,Sseq
M1B_T384s1_O15,M1B,O15,O15,M1B_T384s1_O15,Sseq
M1B_T384s1_O16,M1B,O16,O16,M1B_T384s1_O16,Sseq
M1B_T384s1_O17,M1B,O17,O17,M1B_T384s1_O17,Sseq
M1B_T384s1_O18,M1B,O18,O18,M1B_T384s1_O18,Sseq
M1B_T384s1_O19,M1B,O19,O19,M1B_T384s1_O19,Sseq
M1B_T384s1_O20,M1B,O20,O20,M1B_T384s1_O20,Sseq
M1B_T384s1_O21,M1B,O21,O21,M1B_T384s1_O21,Sseq
M1B_T384s1_O22,M1B,O22,O22,M1B_T384s1_O22,Sseq
M1B_T384s1_O23,M1B,O23,AdMyoD,M1B_T384s1_O23,Sseq
M1B_T384s1_O24,M1B,O24,#3 MN(0Days) NRM,M1B_T384s1_O24,Sph
M1B_T384s1_P1,M1B,P1,5D Inj TA 1,M1B_T384s1_P1,Sph
M1B_T384s1_P2,M1B,P2,P7NG# 9 D5 Diff GFP -,M1B_T384s1_P2,Sph
M1B_T384s1_P3,M1B,P3,P3,M1B_T384s1_P3,Sseq
M1B_T384s1_P4,M1B,P4,P4,M1B_T384s1_P4,Sseq
M1B_T384s1_P5,M1B,P5,P5,M1B_T384s1_P5,Sseq
M1B_T384s1_P6,M1B,P6,P6,M1B_T384s1_P6,Sseq
M1B_T384s1_P7,M1B,P7,P7,M1B_T384s1_P7,Sseq
M1B_T384s1_P8,M1B,P8,P8,M1B_T384s1_P8,Sseq
M1B_T384s1_P9,M1B,P9,P9,M1B_T384s1_P9,Sseq
M1B_T384s1_P10,M1B,P10,P10,M1B_T384s1_P10,Sseq
M1B_T384s1_P11,M1B,P11,P11,M1B_T384s1_P11,Sseq
M1B_T384s1_P12,M1B,P12,P12,M1B_T384s1_P12,Sseq
M1B_T384s1_P13,M1B,P13,P13,M1B_T384s1_P13,Sseq
M1B_T384s1_P14,M1B,P14,P14,M1B_T384s1_P14,Sseq
M1B_T384s1_P15,M1B,P15,P15,M1B_T384s1_P15,Sseq
M1B_T384s1_P16,M1B,P16,P16,M1B_T384s1_P16,Sseq
M1B_T384s1_P17,M1B,P17,P17,M1B_T384s1_P17,Sseq
M1B_T384s1_P18,M1B,P18,P18,M1B_T384s1_P18,Sseq
M1B_T384s1_P19,M1B,P19,P19,M1B_T384s1_P19,Sseq
M1B_T384s1_P20,M1B,P20,P20,M1B_T384s1_P20,Sseq
M1B_T384s1_P21,M1B,P21,P21,M1B_T384s1_P21,Sseq
M1B_T384s1_P22,M1B,P22,P22,M1B_T384s1_P22,Sseq
M1B_T384s1_P23,M1B,P23,AdMyoD,M1B_T384s1_P23,Sseq
M1B_T384s1_P24,M1B,P24,#4 MN(0Days) NRM,M1B_T384s1_P24,Sph
M2B_T384s1_A1,M2B,A1,SC 1,M2B_T384s1_A1,Sseq
M2B_T384s1_A2,M2B,A2,DMSO,M2B_T384s1_A2,Sseq
M2B_T384s1_A3,M2B,A3,A3,M2B_T384s1_A3,Sseq
M2B_T384s1_A4,M2B,A4,A4,M2B_T384s1_A4,Sseq
M2B_T384s1_A5,M2B,A5,A5,M2B_T384s1_A5,Sseq
M2B_T384s1_A6,M2B,A6,A6,M2B_T384s1_A6,Sseq
M2B_T384s1_A7,M2B,A7,A7,M2B_T384s1_A7,Sseq
M2B_T384s1_A8,M2B,A8,A8,M2B_T384s1_A8,Sseq
M2B_T384s1_A9,M2B,A9,A9,M2B_T384s1_A9,Sseq
M2B_T384s1_A10,M2B,A10,A10,M2B_T384s1_A10,Sseq
M2B_T384s1_A11,M2B,A11,A11,M2B_T384s1_A11,Sseq
M2B_T384s1_A12,M2B,A12,A12,M2B_T384s1_A12,Sseq
M2B_T384s1_A13,M2B,A13,A13,M2B_T384s1_A13,Sseq
M2B_T384s1_A14,M2B,A14,A14,M2B_T384s1_A14,Sseq
M2B_T384s1_A15,M2B,A15,A15,M2B_T384s1_A15,Sseq
M2B_T384s1_A16,M2B,A16,A16,M2B_T384s1_A16,Sseq
M2B_T384s1_A17,M2B,A17,A17,M2B_T384s1_A17,Sseq
M2B_T384s1_A18,M2B,A18,A18,M2B_T384s1_A18,Sseq
M2B_T384s1_A19,M2B,A19,A19,M2B_T384s1_A19,Sseq
M2B_T384s1_A20,M2B,A20,A20,M2B_T384s1_A20,Sseq
M2B_T384s1_A21,M2B,A21,A21,M2B_T384s1_A21,Sseq
M2B_T384s1_A22,M2B,A22,A22,M2B_T384s1_A22,Sseq
M2B_T384s1_A23,M2B,A23,P7NG# 9 D5 Diff GFP +,M2B_T384s1_A23,Sph
M2B_T384s1_A24,M2B,A24,P7NG# 13 D20 SF GFP -,M2B_T384s1_A24,Sph
M2B_T384s1_B1,M2B,B1,SC 2,M2B_T384s1_B1,Sseq
M2B_T384s1_B2,M2B,B2,DMSO,M2B_T384s1_B2,Sseq
M2B_T384s1_B3,M2B,B3,B3,M2B_T384s1_B3,Sseq
M2B_T384s1_B4,M2B,B4,B4,M2B_T384s1_B4,Sseq
M2B_T384s1_B5,M2B,B5,B5,M2B_T384s1_B5,Sseq
M2B_T384s1_B6,M2B,B6,B6,M2B_T384s1_B6,Sseq
M2B_T384s1_B7,M2B,B7,B7,M2B_T384s1_B7,Sseq
M2B_T384s1_B8,M2B,B8,B8,M2B_T384s1_B8,Sseq
M2B_T384s1_B9,M2B,B9,B9,M2B_T384s1_B9,Sseq
M2B_T384s1_B10,M2B,B10,B10,M2B_T384s1_B10,Sseq
M2B_T384s1_B11,M2B,B11,B11,M2B_T384s1_B11,Sseq
M2B_T384s1_B12,M2B,B12,B12,M2B_T384s1_B12,Sseq
M2B_T384s1_B13,M2B,B13,B13,M2B_T384s1_B13,Sseq
M2B_T384s1_B14,M2B,B14,B14,M2B_T384s1_B14,Sseq
M2B_T384s1_B15,M2B,B15,B15,M2B_T384s1_B15,Sseq
M2B_T384s1_B16,M2B,B16,B16,M2B_T384s1_B16,Sseq
M2B_T384s1_B17,M2B,B17,B17,M2B_T384s1_B17,Sseq
M2B_T384s1_B18,M2B,B18,B18,M2B_T384s1_B18,Sseq
M2B_T384s1_B19,M2B,B19,B19,M2B_T384s1_B19,Sseq
M2B_T384s1_B20,M2B,B20,B20,M2B_T384s1_B20,Sseq
M2B_T384s1_B21,M2B,B21,B21,M2B_T384s1_B21,Sseq
M2B_T384s1_B22,M2B,B22,B22,M2B_T384s1_B22,Sseq
M2B_T384s1_B23,M2B,B23,P7NG# 14 D5 Diff GFP -,M2B_T384s1_B23,Sph
M2B_T384s1_B24,M2B,B24,P7NG# 13 D20 SF GFP +,M2B_T384s1_B24,Sph
M2B_T384s1_C1,M2B,C1,SC 3,M2B_T384s1_C1,Sseq
M2B_T384s1_C2,M2B,C2,DMSO,M2B_T384s1_C2,Sseq
M2B_T384s1_C3,M2B,C3,C3,M2B_T384s1_C3,Sseq
M2B_T384s1_C4,M2B,C4,C4,M2B_T384s1_C4,Sseq
M2B_T384s1_C5,M2B,C5,C5,M2B_T384s1_C5,Sseq
M2B_T384s1_C6,M2B,C6,C6,M2B_T384s1_C6,Sseq
M2B_T384s1_C7,M2B,C7,C7,M2B_T384s1_C7,Sseq
M2B_T384s1_C8,M2B,C8,C8,M2B_T384s1_C8,Sseq
M2B_T384s1_C9,M2B,C9,C9,M2B_T384s1_C9,Sseq
M2B_T384s1_C10,M2B,C10,C10,M2B_T384s1_C10,Sseq
M2B_T384s1_C11,M2B,C11,C11,M2B_T384s1_C11,Sseq
M2B_T384s1_C12,M2B,C12,C12,M2B_T384s1_C12,Sseq
M2B_T384s1_C13,M2B,C13,C13,M2B_T384s1_C13,Sseq
M2B_T384s1_C14,M2B,C14,C14,M2B_T384s1_C14,Sseq
M2B_T384s1_C15,M2B,C15,C15,M2B_T384s1_C15,Sseq
M2B_T384s1_C16,M2B,C16,C16,M2B_T384s1_C16,Sseq
M2B_T384s1_C17,M2B,C17,C17,M2B_T384s1_C17,Sseq
M2B_T384s1_C18,M2B,C18,C18,M2B_T384s1_C18,Sseq
M2B_T384s1_C19,M2B,C19,C19,M2B_T384s1_C19,Sseq
M2B_T384s1_C20,M2B,C20,C20,M2B_T384s1_C20,Sseq
M2B_T384s1_C21,M2B,C21,C21,M2B_T384s1_C21,Sseq
M2B_T384s1_C22,M2B,C22,C22,M2B_T384s1_C22,Sseq
M2B_T384s1_C23,M2B,C23,P7NG# 14 D5 Diff GFP +,M2B_T384s1_C23,Sph
M2B_T384s1_C24,M2B,C24,P7NG# 8 D20 SF GFP -,M2B_T384s1_C24,Sph
M2B_T384s1_D1,M2B,D1,SC 4,M2B_T384s1_D1,Sseq
M2B_T384s1_D2,M2B,D2,DMSO,M2B_T384s1_D2,Sseq
M2B_T384s1_D3,M2B,D3,D3,M2B_T384s1_D3,Sseq
M2B_T384s1_D4,M2B,D4,D4,M2B_T384s1_D4,Sseq
M2B_T384s1_D5,M2B,D5,D5,M2B_T384s1_D5,Sseq
M2B_T384s1_D6,M2B,D6,D6,M2B_T384s1_D6,Sseq
M2B_T384s1_D7,M2B,D7,D7,M2B_T384s1_D7,Sseq
M2B_T384s1_D8,M2B,D8,D8,M2B_T384s1_D8,Sseq
M2B_T384s1_D9,M2B,D9,D9,M2B_T384s1_D9,Sseq
M2B_T384s1_D10,M2B,D10,D10,M2B_T384s1_D10,Sseq
M2B_T384s1_D11,M2B,D11,D11,M2B_T384s1_D11,Sseq
M2B_T384s1_D12,M2B,D12,D12,M2B_T384s1_D12,Sseq
M2B_T384s1_D13,M2B,D13,D13,M2B_T384s1_D13,Sseq
M2B_T384s1_D14,M2B,D14,D14,M2B_T384s1_D14,Sseq
M2B_T384s1_D15,M2B,D15,D15,M2B_T384s1_D15,Sseq
M2B_T384s1_D16,M2B,D16,D16,M2B_T384s1_D16,Sseq
M2B_T384s1_D17,M2B,D17,D17,M2B_T384s1_D17,Sseq
M2B_T384s1_D18,M2B,D18,D18,M2B_T384s1_D18,Sseq
M2B_T384s1_D19,M2B,D19,D19,M2B_T384s1_D19,Sseq
M2B_T384s1_D20,M2B,D20,D20,M2B_T384s1_D20,Sseq
M2B_T384s1_D21,M2B,D21,D21,M2B_T384s1_D21,Sseq
M2B_T384s1_D22,M2B,D22,D22,M2B_T384s1_D22,Sseq
M2B_T384s1_D23,M2B,D23,P7NG# 16 D20 SF GFP +,M2B_T384s1_D23,Sph
M2B_T384s1_D24,M2B,D24,P7NG# 8 D20 SF GFP +,M2B_T384s1_D24,Sph
M2B_T384s1_E1,M2B,E1,Myo#1,M2B_T384s1_E1,Sseq
M2B_T384s1_E2,M2B,E2,AdMyoD,M2B_T384s1_E2,Sseq
M2B_T384s1_E3,M2B,E3,E3,M2B_T384s1_E3,Sseq
M2B_T384s1_E4,M2B,E4,E4,M2B_T384s1_E4,Sseq
M2B_T384s1_E5,M2B,E5,E5,M2B_T384s1_E5,Sseq
M2B_T384s1_E6,M2B,E6,E6,M2B_T384s1_E6,Sseq
M2B_T384s1_E7,M2B,E7,E7,M2B_T384s1_E7,Sseq
M2B_T384s1_E8,M2B,E8,E8,M2B_T384s1_E8,Sseq
M2B_T384s1_E9,M2B,E9,E9,M2B_T384s1_E9,Sseq
M2B_T384s1_E10,M2B,E10,E10,M2B_T384s1_E10,Sseq
M2B_T384s1_E11,M2B,E11,E11,M2B_T384s1_E11,Sseq
M2B_T384s1_E12,M2B,E12,E12,M2B_T384s1_E12,Sseq
M2B_T384s1_E13,M2B,E13,E13,M2B_T384s1_E13,Sseq
M2B_T384s1_E14,M2B,E14,E14,M2B_T384s1_E14,Sseq
M2B_T384s1_E15,M2B,E15,E15,M2B_T384s1_E15,Sseq
M2B_T384s1_E16,M2B,E16,E16,M2B_T384s1_E16,Sseq
M2B_T384s1_E17,M2B,E17,E17,M2B_T384s1_E17,Sseq
M2B_T384s1_E18,M2B,E18,E18,M2B_T384s1_E18,Sseq
M2B_T384s1_E19,M2B,E19,E19,M2B_T384s1_E19,Sseq
M2B_T384s1_E20,M2B,E20,E20,M2B_T384s1_E20,Sseq
M2B_T384s1_E21,M2B,E21,E21,M2B_T384s1_E21,Sseq
M2B_T384s1_E22,M2B,E22,E22,M2B_T384s1_E22,Sseq
M2B_T384s1_E23,M2B,E23,P7NG# 14 D20 SF GFP -,M2B_T384s1_E23,Sph
M2B_T384s1_E24,M2B,E24,P7NG# 10 D20 SF GFP -,M2B_T384s1_E24,Sph
M2B_T384s1_F1,M2B,F1,Myo#5,M2B_T384s1_F1,Sseq
M2B_T384s1_F2,M2B,F2,AdMyoD,M2B_T384s1_F2,Sseq
M2B_T384s1_F3,M2B,F3,F3,M2B_T384s1_F3,Sseq
M2B_T384s1_F4,M2B,F4,F4,M2B_T384s1_F4,Sseq
M2B_T384s1_F5,M2B,F5,F5,M2B_T384s1_F5,Sseq
M2B_T384s1_F6,M2B,F6,F6,M2B_T384s1_F6,Sseq
M2B_T384s1_F7,M2B,F7,F7,M2B_T384s1_F7,Sseq
M2B_T384s1_F8,M2B,F8,F8,M2B_T384s1_F8,Sseq
M2B_T384s1_F9,M2B,F9,F9,M2B_T384s1_F9,Sseq
M2B_T384s1_F10,M2B,F10,F10,M2B_T384s1_F10,Sseq
M2B_T384s1_F11,M2B,F11,F11,M2B_T384s1_F11,Sseq
M2B_T384s1_F12,M2B,F12,F12,M2B_T384s1_F12,Sseq
M2B_T384s1_F13,M2B,F13,F13,M2B_T384s1_F13,Sseq
M2B_T384s1_F14,M2B,F14,F14,M2B_T384s1_F14,Sseq
M2B_T384s1_F15,M2B,F15,F15,M2B_T384s1_F15,Sseq
M2B_T384s1_F16,M2B,F16,F16,M2B_T384s1_F16,Sseq
M2B_T384s1_F17,M2B,F17,F17,M2B_T384s1_F17,Sseq
M2B_T384s1_F18,M2B,F18,F18,M2B_T384s1_F18,Sseq
M2B_T384s1_F19,M2B,F19,F19,M2B_T384s1_F19,Sseq
M2B_T384s1_F20,M2B,F20,F20,M2B_T384s1_F20,Sseq
M2B_T384s1_F21,M2B,F21,F21,M2B_T384s1_F21,Sseq
M2B_T384s1_F22,M2B,F22,F22,M2B_T384s1_F22,Sseq
M2B_T384s1_F23,M2B,F23,P7NG# 14 D20 SF GFP +,M2B_T384s1_F23,Sph
M2B_T384s1_F24,M2B,F24,P7NG# 10 D20 SF GFP +,M2B_T384s1_F24,Sph
M2B_T384s1_G1,M2B,G1,Myo#6,M2B_T384s1_G1,Sseq
M2B_T384s1_G2,M2B,G2,AdMyoD,M2B_T384s1_G2,Sseq
M2B_T384s1_G3,M2B,G3,G3,M2B_T384s1_G3,Sseq
M2B_T384s1_G4,M2B,G4,G4,M2B_T384s1_G4,Sseq
M2B_T384s1_G5,M2B,G5,G5,M2B_T384s1_G5,Sseq
M2B_T384s1_G6,M2B,G6,G6,M2B_T384s1_G6,Sseq
M2B_T384s1_G7,M2B,G7,G7,M2B_T384s1_G7,Sseq
M2B_T384s1_G8,M2B,G8,G8,M2B_T384s1_G8,Sseq
M2B_T384s1_G9,M2B,G9,G9,M2B_T384s1_G9,Sseq
M2B_T384s1_G10,M2B,G10,G10,M2B_T384s1_G10,Sseq
M2B_T384s1_G11,M2B,G11,G11,M2B_T384s1_G11,Sseq
M2B_T384s1_G12,M2B,G12,G12,M2B_T384s1_G12,Sseq
M2B_T384s1_G13,M2B,G13,G13,M2B_T384s1_G13,Sseq
M2B_T384s1_G14,M2B,G14,G14,M2B_T384s1_G14,Sseq
M2B_T384s1_G15,M2B,G15,G15,M2B_T384s1_G15,Sseq
M2B_T384s1_G16,M2B,G16,G16,M2B_T384s1_G16,Sseq
M2B_T384s1_G17,M2B,G17,G17,M2B_T384s1_G17,Sseq
M2B_T384s1_G18,M2B,G18,G18,M2B_T384s1_G18,Sseq
M2B_T384s1_G19,M2B,G19,G19,M2B_T384s1_G19,Sseq
M2B_T384s1_G20,M2B,G20,G20,M2B_T384s1_G20,Sseq
M2B_T384s1_G21,M2B,G21,G21,M2B_T384s1_G21,Sseq
M2B_T384s1_G22,M2B,G22,G22,M2B_T384s1_G22,Sseq
M2B_T384s1_G23,M2B,G23,P7NG# 5 D20 SF GFP -,M2B_T384s1_G23,Sph
M2B_T384s1_G24,M2B,G24,P7NG# 8 D30 GFP -,M2B_T384s1_G24,Sph
M2B_T384s1_H1,M2B,H1,Myo#8,M2B_T384s1_H1,Sseq
M2B_T384s1_H2,M2B,H2,AdMyoD,M2B_T384s1_H2,Sseq
M2B_T384s1_H3,M2B,H3,H3,M2B_T384s1_H3,Sseq
M2B_T384s1_H4,M2B,H4,H4,M2B_T384s1_H4,Sseq
M2B_T384s1_H5,M2B,H5,H5,M2B_T384s1_H5,Sseq
M2B_T384s1_H6,M2B,H6,H6,M2B_T384s1_H6,Sseq
M2B_T384s1_H7,M2B,H7,H7,M2B_T384s1_H7,Sseq
M2B_T384s1_H8,M2B,H8,H8,M2B_T384s1_H8,Sseq
M2B_T384s1_H9,M2B,H9,H9,M2B_T384s1_H9,Sseq
M2B_T384s1_H10,M2B,H10,H10,M2B_T384s1_H10,Sseq
M2B_T384s1_H11,M2B,H11,H11,M2B_T384s1_H11,Sseq
M2B_T384s1_H12,M2B,H12,H12,M2B_T384s1_H12,Sseq
M2B_T384s1_H13,M2B,H13,H13,M2B_T384s1_H13,Sseq
M2B_T384s1_H14,M2B,H14,H14,M2B_T384s1_H14,Sseq
M2B_T384s1_H15,M2B,H15,H15,M2B_T384s1_H15,Sseq
M2B_T384s1_H16,M2B,H16,H16,M2B_T384s1_H16,Sseq
M2B_T384s1_H17,M2B,H17,H17,M2B_T384s1_H17,Sseq
M2B_T384s1_H18,M2B,H18,H18,M2B_T384s1_H18,Sseq
M2B_T384s1_H19,M2B,H19,H19,M2B_T384s1_H19,Sseq
M2B_T384s1_H20,M2B,H20,H20,M2B_T384s1_H20,Sseq
M2B_T384s1_H21,M2B,H21,H21,M2B_T384s1_H21,Sseq
M2B_T384s1_H22,M2B,H22,H22,M2B_T384s1_H22,Sseq
M2B_T384s1_H23,M2B,H23,P7NG# 5 D20 SF GFP +,M2B_T384s1_H23,Sph
M2B_T384s1_H24,M2B,H24,P7NG# 8 D30 GFP +,M2B_T384s1_H24,Sph
M2B_T384s1_I1,M2B,I1,Myo#9,M2B_T384s1_I1,Sseq
M2B_T384s1_I2,M2B,I2,5D Inj TA 2,M2B_T384s1_I2,Sph
M2B_T384s1_I3,M2B,I3,I3,M2B_T384s1_I3,Sseq
M2B_T384s1_I4,M2B,I4,I4,M2B_T384s1_I4,Sseq
M2B_T384s1_I5,M2B,I5,I5,M2B_T384s1_I5,Sseq
M2B_T384s1_I6,M2B,I6,I6,M2B_T384s1_I6,Sseq
M2B_T384s1_I7,M2B,I7,I7,M2B_T384s1_I7,Sseq
M2B_T384s1_I8,M2B,I8,I8,M2B_T384s1_I8,Sseq
M2B_T384s1_I9,M2B,I9,I9,M2B_T384s1_I9,Sseq
M2B_T384s1_I10,M2B,I10,I10,M2B_T384s1_I10,Sseq
M2B_T384s1_I11,M2B,I11,I11,M2B_T384s1_I11,Sseq
M2B_T384s1_I12,M2B,I12,I12,M2B_T384s1_I12,Sseq
M2B_T384s1_I13,M2B,I13,I13,M2B_T384s1_I13,Sseq
M2B_T384s1_I14,M2B,I14,I14,M2B_T384s1_I14,Sseq
M2B_T384s1_I15,M2B,I15,I15,M2B_T384s1_I15,Sseq
M2B_T384s1_I16,M2B,I16,I16,M2B_T384s1_I16,Sseq
M2B_T384s1_I17,M2B,I17,I17,M2B_T384s1_I17,Sseq
M2B_T384s1_I18,M2B,I18,I18,M2B_T384s1_I18,Sseq
M2B_T384s1_I19,M2B,I19,I19,M2B_T384s1_I19,Sseq
M2B_T384s1_I20,M2B,I20,I20,M2B_T384s1_I20,Sseq
M2B_T384s1_I21,M2B,I21,I21,M2B_T384s1_I21,Sseq
M2B_T384s1_I22,M2B,I22,I22,M2B_T384s1_I22,Sseq
M2B_T384s1_I23,M2B,I23,DMSO,M2B_T384s1_I23,Sseq
M2B_T384s1_I24,M2B,I24,P7NG# 13 D30 GFP -,M2B_T384s1_I24,Sph
M2B_T384s1_J1,M2B,J1,Myo#10,M2B_T384s1_J1,Sseq
M2B_T384s1_J2,M2B,J2,5D Inj TA 3,M2B_T384s1_J2,Sph
M2B_T384s1_J3,M2B,J3,J3,M2B_T384s1_J3,Sseq
M2B_T384s1_J4,M2B,J4,J4,M2B_T384s1_J4,Sseq
M2B_T384s1_J5,M2B,J5,J5,M2B_T384s1_J5,Sseq
M2B_T384s1_J6,M2B,J6,J6,M2B_T384s1_J6,Sseq
M2B_T384s1_J7,M2B,J7,J7,M2B_T384s1_J7,Sseq
M2B_T384s1_J8,M2B,J8,J8,M2B_T384s1_J8,Sseq
M2B_T384s1_J9,M2B,J9,J9,M2B_T384s1_J9,Sseq
M2B_T384s1_J10,M2B,J10,J10,M2B_T384s1_J10,Sseq
M2B_T384s1_J11,M2B,J11,J11,M2B_T384s1_J11,Sseq
M2B_T384s1_J12,M2B,J12,J12,M2B_T384s1_J12,Sseq
M2B_T384s1_J13,M2B,J13,J13,M2B_T384s1_J13,Sseq
M2B_T384s1_J14,M2B,J14,J14,M2B_T384s1_J14,Sseq
M2B_T384s1_J15,M2B,J15,J15,M2B_T384s1_J15,Sseq
M2B_T384s1_J16,M2B,J16,J16,M2B_T384s1_J16,Sseq
M2B_T384s1_J17,M2B,J17,J17,M2B_T384s1_J17,Sseq
M2B_T384s1_J18,M2B,J18,J18,M2B_T384s1_J18,Sseq
M2B_T384s1_J19,M2B,J19,J19,M2B_T384s1_J19,Sseq
M2B_T384s1_J20,M2B,J20,J20,M2B_T384s1_J20,Sseq
M2B_T384s1_J21,M2B,J21,J21,M2B_T384s1_J21,Sseq
M2B_T384s1_J22,M2B,J22,J22,M2B_T384s1_J22,Sseq
M2B_T384s1_J23,M2B,J23,DMSO,M2B_T384s1_J23,Sseq
M2B_T384s1_J24,M2B,J24,P7NG# 13 D30 GFP +,M2B_T384s1_J24,Sph
M2B_T384s1_K1,M2B,K1,Myo#13,M2B_T384s1_K1,Sseq
M2B_T384s1_K2,M2B,K2,P7NG#5 GFP High,M2B_T384s1_K2,Sph
M2B_T384s1_K3,M2B,K3,K3,M2B_T384s1_K3,Sseq
M2B_T384s1_K4,M2B,K4,K4,M2B_T384s1_K4,Sseq
M2B_T384s1_K5,M2B,K5,K5,M2B_T384s1_K5,Sseq
M2B_T384s1_K6,M2B,K6,K6,M2B_T384s1_K6,Sseq
M2B_T384s1_K7,M2B,K7,K7,M2B_T384s1_K7,Sseq
M2B_T384s1_K8,M2B,K8,K8,M2B_T384s1_K8,Sseq
M2B_T384s1_K9,M2B,K9,K9,M2B_T384s1_K9,Sseq
M2B_T384s1_K10,M2B,K10,K10,M2B_T384s1_K10,Sseq
M2B_T384s1_K11,M2B,K11,K11,M2B_T384s1_K11,Sseq
M2B_T384s1_K12,M2B,K12,K12,M2B_T384s1_K12,Sseq
M2B_T384s1_K13,M2B,K13,K13,M2B_T384s1_K13,Sseq
M2B_T384s1_K14,M2B,K14,K14,M2B_T384s1_K14,Sseq
M2B_T384s1_K15,M2B,K15,K15,M2B_T384s1_K15,Sseq
M2B_T384s1_K16,M2B,K16,K16,M2B_T384s1_K16,Sseq
M2B_T384s1_K17,M2B,K17,K17,M2B_T384s1_K17,Sseq
M2B_T384s1_K18,M2B,K18,K18,M2B_T384s1_K18,Sseq
M2B_T384s1_K19,M2B,K19,K19,M2B_T384s1_K19,Sseq
M2B_T384s1_K20,M2B,K20,K20,M2B_T384s1_K20,Sseq
M2B_T384s1_K21,M2B,K21,K21,M2B_T384s1_K21,Sseq
M2B_T384s1_K22,M2B,K22,K22,M2B_T384s1_K22,Sseq
M2B_T384s1_K23,M2B,K23,DMSO,M2B_T384s1_K23,Sseq
M2B_T384s1_K24,M2B,K24,P7NG# 10 D30 GFP -,M2B_T384s1_K24,Sph
M2B_T384s1_L1,M2B,L1,Myo#15,M2B_T384s1_L1,Sseq
M2B_T384s1_L2,M2B,L2,P7NG#8 GFP High,M2B_T384s1_L2,Sph
M2B_T384s1_L3,M2B,L3,L3,M2B_T384s1_L3,Sseq
M2B_T384s1_L4,M2B,L4,L4,M2B_T384s1_L4,Sseq
M2B_T384s1_L5,M2B,L5,L5,M2B_T384s1_L5,Sseq
M2B_T384s1_L6,M2B,L6,L6,M2B_T384s1_L6,Sseq
M2B_T384s1_L7,M2B,L7,L7,M2B_T384s1_L7,Sseq
M2B_T384s1_L8,M2B,L8,L8,M2B_T384s1_L8,Sseq
M2B_T384s1_L9,M2B,L9,L9,M2B_T384s1_L9,Sseq
M2B_T384s1_L10,M2B,L10,L10,M2B_T384s1_L10,Sseq
M2B_T384s1_L11,M2B,L11,L11,M2B_T384s1_L11,Sseq
M2B_T384s1_L12,M2B,L12,L12,M2B_T384s1_L12,Sseq
M2B_T384s1_L13,M2B,L13,L13,M2B_T384s1_L13,Sseq
M2B_T384s1_L14,M2B,L14,L14,M2B_T384s1_L14,Sseq
M2B_T384s1_L15,M2B,L15,L15,M2B_T384s1_L15,Sseq
M2B_T384s1_L16,M2B,L16,L16,M2B_T384s1_L16,Sseq
M2B_T384s1_L17,M2B,L17,L17,M2B_T384s1_L17,Sseq
M2B_T384s1_L18,M2B,L18,L18,M2B_T384s1_L18,Sseq
M2B_T384s1_L19,M2B,L19,L19,M2B_T384s1_L19,Sseq
M2B_T384s1_L20,M2B,L20,L20,M2B_T384s1_L20,Sseq
M2B_T384s1_L21,M2B,L21,L21,M2B_T384s1_L21,Sseq
M2B_T384s1_L22,M2B,L22,L22,M2B_T384s1_L22,Sseq
M2B_T384s1_L23,M2B,L23,DMSO,M2B_T384s1_L23,Sseq
M2B_T384s1_L24,M2B,L24,P7NG# 10 D30 GFP +,M2B_T384s1_L24,Sph
M2B_T384s1_M1,M2B,M1,Myo#16,M2B_T384s1_M1,Sseq
M2B_T384s1_M2,M2B,M2,P7NG#10 GFP High,M2B_T384s1_M2,Sph
M2B_T384s1_M3,M2B,M3,M3,M2B_T384s1_M3,Sseq
M2B_T384s1_M4,M2B,M4,M4,M2B_T384s1_M4,Sseq
M2B_T384s1_M5,M2B,M5,M5,M2B_T384s1_M5,Sseq
M2B_T384s1_M6,M2B,M6,M6,M2B_T384s1_M6,Sseq
M2B_T384s1_M7,M2B,M7,M7,M2B_T384s1_M7,Sseq
M2B_T384s1_M8,M2B,M8,M8,M2B_T384s1_M8,Sseq
M2B_T384s1_M9,M2B,M9,M9,M2B_T384s1_M9,Sseq
M2B_T384s1_M10,M2B,M10,M10,M2B_T384s1_M10,Sseq
M2B_T384s1_M11,M2B,M11,M11,M2B_T384s1_M11,Sseq
M2B_T384s1_M12,M2B,M12,M12,M2B_T384s1_M12,Sseq
M2B_T384s1_M13,M2B,M13,M13,M2B_T384s1_M13,Sseq
M2B_T384s1_M14,M2B,M14,M14,M2B_T384s1_M14,Sseq
M2B_T384s1_M15,M2B,M15,M15,M2B_T384s1_M15,Sseq
M2B_T384s1_M16,M2B,M16,M16,M2B_T384s1_M16,Sseq
M2B_T384s1_M17,M2B,M17,M17,M2B_T384s1_M17,Sseq
M2B_T384s1_M18,M2B,M18,M18,M2B_T384s1_M18,Sseq
M2B_T384s1_M19,M2B,M19,M19,M2B_T384s1_M19,Sseq
M2B_T384s1_M20,M2B,M20,M20,M2B_T384s1_M20,Sseq
M2B_T384s1_M21,M2B,M21,M21,M2B_T384s1_M21,Sseq
