,batch,well,treatment,sample,Experiment
M1B_T384s1_F2,M1B,F2,AdMyoD,M1B_T384s1_F2,Sseq
M1B_T384s1_F3,M1B,F3,F3,M1B_T384s1_F3,Sseq
M1B_T384s1_F4,M1B,F4,F4,M1B_T384s1_F4,Sseq
M1B_T384s1_F5,M1B,F5,F5,M1B_T384s1_F5,Sseq
M1B_T384s1_F6,M1B,F6,F6,M1B_T384s1_F6,Sseq
M1B_T384s1_F7,M1B,F7,F7,M1B_T384s1_F7,Sseq
M1B_T384s1_F8,M1B,F8,F8,M1B_T384s1_F8,Sseq
M1B_T384s1_F9,M1B,F9,F9,M1B_T384s1_F9,Sseq
M1B_T384s1_F10,M1B,F10,F10,M1B_T384s1_F10,Sseq
M1B_T384s1_F11,M1B,F11,F11,M1B_T384s1_F11,Sseq
M1B_T384s1_F12,M1B,F12,F12,M1B_T384s1_F12,Sseq
M1B_T384s1_F13,M1B,F13,F13,M1B_T384s1_F13,Sseq
M1B_T384s1_F14,M1B,F14,F14,M1B_T384s1_F14,Sseq
M1B_T384s1_F15,M1B,F15,F15,M1B_T384s1_F15,Sseq
M1B_T384s1_F16,M1B,F16,F16,M1B_T384s1_F16,Sseq
M1B_T384s1_F17,M1B,F17,F17,M1B_T384s1_F17,Sseq
M1B_T384s1_F18,M1B,F18,F18,M1B_T384s1_F18,Sseq
M1B_T384s1_F19,M1B,F19,F19,M1B_T384s1_F19,Sseq
M1B_T384s1_F20,M1B,F20,F20,M1B_T384s1_F20,Sseq
M1B_T384s1_F21,M1B,F21,F21,M1B_T384s1_F21,Sseq
M1B_T384s1_F22,M1B,F22,F22,M1B_T384s1_F22,Sseq
M1B_T384s1_F23,M1B,F23,P7NG# 14 D20 SF GFP +,M1B_T384s1_F23,Sph
M1B_T384s1_F24,M1B,F24,P7NG# 10 D20 SF GFP +,M1B_T384s1_F24,Sph
M1B_T384s1_G1,M1B,G1,Myo#6,M1B_T384s1_G1,Sseq
M1B_T384s1_G2,M1B,G2,AdMyoD,M1B_T384s1_G2,Sseq
M1B_T384s1_G3,M1B,G3,G3,M1B_T384s1_G3,Sseq
M1B_T384s1_G4,M1B,G4,G4,M1B_T384s1_G4,Sseq
M1B_T384s1_G5,M1B,G5,G5,M1B_T384s1_G5,Sseq
M1B_T384s1_G6,M1B,G6,G6,M1B_T384s1_G6,Sseq
M1B_T384s1_G7,M1B,G7,G7,M1B_T384s1_G7,Sseq
