"M2B_T384s1_A1" "M2B_T384s1_A23" "M2B_T384s1_A24" "M2B_T384s1_B1" "M2B_T384s1_B23" "M2B_T384s1_B24" "M2B_T384s1_C1" "M2B_T384s1_C23" "M2B_T384s1_C24" "M2B_T384s1_D1" "M2B_T384s1_D23" "M2B_T384s1_D24" "M2B_T384s1_E1" "M2B_T384s1_E23" "M2B_T384s1_E24" "M2B_T384s1_F1" "M2B_T384s1_F23" "M2B_T384s1_F24" "M2B_T384s1_G1" "M2B_T384s1_G23" "M2B_T384s1_G24" "M2B_T384s1_H1" "M2B_T384s1_H23" "M2B_T384s1_H24" "M2B_T384s1_I1" "M2B_T384s1_I2" "M2B_T384s1_I24" "M2B_T384s1_J1" "M2B_T384s1_J2" "M2B_T384s1_J24" "M2B_T384s1_K1" "M2B_T384s1_K2" "M2B_T384s1_K24" "M2B_T384s1_L1" "M2B_T384s1_L2" "M2B_T384s1_L24" "M2B_T384s1_M1" "M2B_T384s1_M2" "M2B_T384s1_M24" "M2B_T384s1_N1" "M2B_T384s1_N2" "M2B_T384s1_N24" "M2B_T384s1_O1" "M2B_T384s1_O2" "M2B_T384s1_O24" "M2B_T384s1_P1" "M2B_T384s1_P2" "M2B_T384s1_P24"
"Gng3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1
"Gng4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gng5" 24 20 15 5 4 1 2 10 5 2 8 7 3 3 4 6 6 4 10 26 16 13 18 7 5 2 9 4 6 12 18 16 5 17 10 2 7 7 6 12 2 0 1 4 3 6 10 1
"Gng7" 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gng8" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gngt1" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Gngt2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Gnl1" 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 2 0
"Gnl2" 3 6 3 3 1 2 1 1 1 1 2 4 4 4 3 2 3 1 5 9 4 6 3 0 6 4 2 5 2 3 9 6 1 3 3 0 2 0 3 1 0 0 0 0 0 1 2 0
"Gnl3" 10 5 2 5 4 0 4 3 2 4 0 2 2 2 3 6 2 3 10 11 5 9 11 4 7 3 3 5 3 2 9 7 2 12 8 1 1 3 4 0 1 1 0 2 0 0 2 1
"Gnl3l" 5 1 3 4 1 0 0 0 1 1 2 2 1 2 0 1 0 1 2 6 5 7 1 0 1 1 0 3 0 2 2 1 1 4 1 1 1 3 0 2 0 1 0 2 1 3 2 2
"Gnmt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gnpat" 1 1 3 0 1 1 0 1 0 1 1 1 0 1 1 0 2 0 4 6 1 0 0 0 3 0 0 0 1 1 4 2 1 1 0 0 0 0 0 0 0 0 0 1 1 2 2 1
"Gnpda1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gnpda2" 1 4 1 1 1 0 1 0 0 0 0 3 0 1 0 0 2 0 4 0 1 2 3 1 1 0 0 1 1 2 0 2 1 2 2 0 2 0 2 0 1 0 0 0 0 0 1 0
"Gnpnat1" 4 4 0 1 2 2 3 1 0 0 1 3 1 2 4 1 0 2 2 1 1 2 8 1 1 1 2 2 0 2 0 2 1 1 1 0 0 1 0 1 5 0 2 1 1 1 2 0
"Gnptab" 2 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Gnptg" 3 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 2 0 1 0 0 0 0 0 1 0 1 0 2 1 0 0 1 1 0 0 0 0 1 0 0 1
"Gnrh1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gnrhr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gns" 2 2 1 1 0 0 0 0 1 0 2 2 0 2 0 1 2 0 1 5 2 1 4 2 4 6 2 2 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 2 0 1
"Golga1" 5 1 1 3 0 0 1 1 0 3 1 2 0 0 0 1 0 0 1 4 0 2 0 0 0 0 0 0 3 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0
"Golga2" 4 1 3 0 3 1 1 2 1 0 0 1 0 1 0 0 0 0 1 3 1 2 2 0 0 1 0 0 0 3 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0
"Golga3" 1 3 3 0 1 2 0 0 1 0 0 0 1 1 1 3 0 1 1 2 0 3 3 0 0 2 0 0 2 2 0 0 1 1 1 0 1 2 0 2 2 0 0 0 0 0 2 0
"Golga4" 6 5 10 4 1 0 0 0 8 3 2 2 2 6 3 2 0 0 3 16 5 1 11 1 4 3 4 5 3 1 4 3 1 2 3 2 0 3 4 3 4 3 1 4 3 5 4 1
"Golga5" 2 0 3 0 0 0 1 1 0 0 0 4 1 2 1 0 0 0 1 2 1 2 1 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 3 0 2 1 0
"Golga7" 5 5 2 0 1 0 2 5 1 0 2 0 2 2 3 0 1 0 3 1 1 2 1 1 0 1 2 1 1 0 1 1 4 0 0 0 2 2 0 0 1 0 0 0 0 0 0 1
"Golga7b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Golgb1" 19 15 8 4 3 4 1 2 5 3 2 6 6 4 2 4 5 4 3 13 3 4 11 0 4 1 12 1 7 4 8 1 4 0 3 0 1 3 1 1 1 1 0 3 4 4 3 3
"Golim4" 15 6 1 8 1 3 2 3 3 3 1 5 2 1 3 4 0 0 4 5 3 4 15 2 3 3 2 4 1 1 7 5 1 5 1 1 1 8 1 0 1 0 0 1 1 5 2 1
"Golm1" 1 5 1 1 2 0 3 0 2 0 0 0 1 2 0 1 0 0 0 3 1 3 2 2 1 0 5 3 3 3 3 3 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1
"Golph3" 0 0 2 1 0 1 0 1 0 0 0 2 0 0 0 1 0 0 1 1 1 2 3 0 0 0 0 0 0 1 1 2 0 3 0 0 0 0 1 0 0 0 0 1 0 0 1 0
"Golph3l" 1 1 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1
"Golt1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Golt1b" 3 7 2 2 2 1 0 2 2 0 1 0 3 4 1 7 2 0 7 2 3 11 4 1 2 0 5 1 3 2 7 7 1 6 3 0 1 0 1 0 1 1 0 0 1 2 0 2
"Gon4l" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 2 0 1
"Gopc" 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Gorab" 0 0 1 0 0 0 0 2 3 1 2 1 1 1 0 2 0 1 0 0 3 0 3 0 1 2 1 0 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 1 1 0 1
"Gorasp1" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"Gorasp2" 9 0 4 3 0 1 1 1 2 0 2 2 1 3 2 2 1 2 2 8 4 5 11 3 1 0 0 2 2 2 0 5 0 1 4 0 0 2 1 0 1 0 0 1 0 2 2 0
"Gosr1" 0 1 0 2 0 2 1 0 0 0 0 0 2 0 1 1 1 1 1 3 2 2 2 0 1 0 1 1 0 1 3 0 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0
"Gosr2" 6 2 1 1 1 0 3 3 0 0 2 2 3 0 2 3 1 2 4 6 2 7 4 0 2 1 3 1 3 3 5 0 1 2 3 0 2 0 2 2 1 0 0 1 2 0 1 1
"Got1" 3 0 8 2 0 1 0 2 0 0 0 3 0 1 6 1 4 0 4 10 8 2 5 1 4 2 3 1 3 0 2 1 0 4 1 0 0 1 0 2 2 0 1 1 1 1 1 1
"Got1l1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Got2" 6 2 11 4 1 4 3 1 3 4 7 2 2 3 2 4 4 2 12 7 5 9 5 3 2 5 4 10 3 4 5 8 1 5 6 2 2 10 3 5 5 0 0 3 4 4 3 1
"Gp1ba" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gp1bb" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Gp2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gp49a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Gp5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gp6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gp9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpa33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpaa1" 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 1 1 1 0 3 2 1 1 0 1 1 1 1 2 1 2 2 0 1 1 0 0 0 0 0 1 0 0 0 0 1 2 1
"Gpam" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpank1" 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Gpat2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Gpatch1" 1 3 0 1 0 0 1 0 0 2 1 2 2 0 1 2 1 0 1 3 0 0 1 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0
"Gpatch11" 0 2 5 0 3 1 0 0 1 0 1 0 1 1 1 0 1 0 2 6 1 2 2 1 2 2 1 2 1 3 0 3 2 2 1 0 0 0 0 2 2 0 0 0 1 1 2 0
"Gpatch2" 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"Gpatch2l" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpatch3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpatch4" 1 0 2 1 1 0 0 1 0 1 1 1 2 0 1 1 1 0 2 3 3 3 4 2 1 2 2 1 1 1 5 1 0 1 3 1 1 0 0 0 1 0 0 0 1 2 0 0
"Gpatch8" 4 0 3 2 1 3 0 0 2 2 1 2 1 2 0 0 0 1 1 1 0 3 1 1 1 0 1 0 1 2 2 0 2 6 3 0 1 0 3 0 0 1 0 0 1 2 1 0
"Gpbar1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpbp1" 5 6 3 3 3 2 3 8 1 2 2 2 1 3 2 2 4 2 2 8 6 7 5 2 2 0 3 1 6 0 1 5 1 2 2 0 0 1 2 1 2 1 0 1 6 5 1 5
"Gpbp1l1" 0 2 2 0 0 0 2 4 0 1 1 1 2 1 1 1 0 1 2 3 2 4 0 0 4 0 0 2 0 0 2 2 2 0 0 1 1 0 3 1 1 0 0 0 1 0 0 0
"Gpc1" 9 7 14 2 2 2 0 3 13 1 5 7 1 11 13 5 16 4 7 25 15 12 23 6 2 3 8 3 6 10 7 3 6 4 3 2 2 2 1 0 6 0 0 9 0 6 5 0
"Gpc2" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Gpc3" 2 4 2 2 0 0 1 4 2 3 1 2 0 3 0 1 1 0 1 1 0 1 1 0 0 1 1 2 0 1 2 2 0 1 1 2 0 0 1 2 0 0 0 0 2 2 0 1
"Gpc4" 0 2 0 0 0 0 1 2 1 0 3 1 0 3 1 1 3 0 2 3 2 2 3 0 2 0 5 1 1 2 2 0 0 3 0 0 0 0 1 1 1 0 0 0 0 0 1 1
"Gpc5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpc6" 3 4 1 0 1 1 0 0 1 0 0 2 0 1 0 1 0 0 2 0 0 1 0 0 0 2 1 1 1 1 1 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Gpcpd1" 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0
"Gpd1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 1 0 0
"Gpd1l" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Gpd2" 0 1 2 0 0 0 0 0 1 0 0 1 2 0 2 0 1 0 6 1 2 4 0 2 2 1 2 0 2 1 7 4 0 0 1 1 0 2 1 1 1 0 0 3 2 1 0 2
"Gpha2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gphb5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gphn" 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 2 0 1 1 0 0 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"Gpi1" 9 9 10 2 7 1 0 10 6 1 3 5 1 5 4 5 5 3 18 19 11 14 25 9 5 0 12 7 3 11 10 16 3 10 4 4 2 5 3 1 0 0 0 4 4 6 8 1
"Gpihbp1" 1 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Gpkow" 0 2 1 1 0 0 0 0 0 0 1 1 0 1 0 2 2 0 1 3 1 2 1 0 0 1 0 0 2 1 0 4 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1
"Gpld1" 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpm6a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Gpm6b" 1 2 0 2 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 3 1 0 0 0 0 3 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"Gpn1" 1 0 1 1 0 0 0 1 3 0 0 0 0 0 2 4 1 0 1 0 0 3 0 1 2 0 0 2 0 3 0 1 0 2 2 1 0 1 1 0 0 0 0 0 1 4 1 0
"Gpn2" 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"Gpn3" 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 2 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"Gpnmb" 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 2 0 0 1 0 0 1 1 0 0 2 0 0 8 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0
"Gpr1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr107" 0 0 3 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 2 0 0 1 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0
"Gpr108" 1 1 0 2 1 0 1 2 0 2 1 1 2 1 1 0 1 0 2 3 0 2 3 2 2 0 2 1 1 0 2 5 0 1 2 1 0 0 1 0 0 0 2 0 0 0 1 0
"Gpr110" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr111" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr113" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr114" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr115" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr116" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr119" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr123" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"Gpr124" 2 2 1 1 0 1 0 3 1 1 1 2 0 0 2 0 1 1 0 0 0 0 3 3 0 0 2 1 4 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Gpr125" 0 3 0 1 0 1 1 2 0 2 0 4 0 0 0 0 0 1 1 0 0 0 1 0 1 0 2 1 0 1 2 0 0 1 0 2 1 0 1 0 0 1 0 2 0 0 0 0
"Gpr126" 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Gpr128" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr132" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr133" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr135" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr137" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr137b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr137b-ps" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr137c" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr139" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr141" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr143" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr146" 0 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Gpr149" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr150" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr151" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr152" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr153" 0 0 1 0 0 2 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 4 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr155" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gpr157" 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0
